run_id,listed_in_viewer,index_frame_count,distinct_measured_times,first_t_tcc,last_t_tcc,mesh_bytes,scientific_status,index_url,issues
athw_L3_chi100,True,101,101,0.0,5.0,444887,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athw_L3_chi100/index.json,
athw_L3_chi1000,True,101,101,0.0,5.0,417995,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athw_L3_chi1000/index.json,
athw_L4_chi10,True,101,101,0.0,5.0,4368208,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athw_L4_chi10/index.json,
athw_L4_chi100,True,101,101,0.0,5.0,2378868,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athw_L4_chi100/index.json,
athw_L4_chi1000,True,101,101,0.0,5.0,2296391,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athw_L4_chi1000/index.json,
athw_L6_chi10,True,13,13,0.0,4.997,10864612,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athw_L6_chi10/index.json,
athw_L6_chi100,True,11,11,0.0,4.157,6302660,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athw_L6_chi100/index.json,
athw_L6r_chi100,True,101,101,0.0,5.0,65523547,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athw_L6r_chi100/index.json,
athw_L6r_chi1000,True,100,100,0.0,4.95,60553296,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athw_L6r_chi1000/index.json,
enzoM05_L4_chi10,True,22,22,0.0,5.0,1291680,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/enzoM05_L4_chi10/index.json,
enzoM05_L4_chi100,True,22,22,0.0,5.0,498880,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/enzoM05_L4_chi100/index.json,
enzoM05_L4_chi1000,True,22,22,0.0,5.0,536352,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/enzoM05_L4_chi1000/index.json,
enzoM15_L4_chi10,True,16,16,0.0,5.0,500752,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/enzoM15_L4_chi10/index.json,
enzoM15_L4_chi100,True,16,16,0.0,5.0,455517,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/enzoM15_L4_chi100/index.json,
enzoM15_L4_chi1000,True,16,16,0.0,5.0,474303,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/enzoM15_L4_chi1000/index.json,
enzoM5_L4_chi10,True,21,21,0.0,2.0,3622968,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/enzoM5_L4_chi10/index.json,
enzoM5_L4_chi100,True,21,21,0.0,2.0,474499,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/enzoM5_L4_chi100/index.json,
enzoM5_L4_chi1000,True,21,21,0.0,2.0,512758,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/enzoM5_L4_chi1000/index.json,
enzo_L1_chi10,True,101,101,0.0,5.0,43566,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/enzo_L1_chi10/index.json,
enzo_L1_chi100,True,101,101,0.0,5.0,17488,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/enzo_L1_chi100/index.json,
enzo_L1_chi1000,True,101,101,0.0,5.0,21080,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/enzo_L1_chi1000/index.json,
enzo_L2_chi10,True,101,101,0.0,5.0,157357,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/enzo_L2_chi10/index.json,
enzo_L2_chi100,True,101,101,0.0,5.0,91806,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/enzo_L2_chi100/index.json,
enzo_L2_chi1000,True,101,101,0.0,5.0,73728,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/enzo_L2_chi1000/index.json,
enzo_L3_chi10,True,101,101,0.0,5.0,928349,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/enzo_L3_chi10/index.json,
